HomeTeam,AwayTeam,FTHG,FTAG,FTR
Arsenal,Leicester,4,3,H
Brighton,Man City,0,2,A
Chelsea,Burnley,2,3,A
Crystal Palace,Huddersfield,0,3,A
Everton,Stoke,1,0,H
Southampton,Swansea,0,0,D
Watford,Liverpool,3,3,D
West Brom,Bournemouth,1,0,H
Man United,West Ham,4,0,H
Newcastle,Tottenham,0,2,A
Bournemouth,Watford,0,2,A
Burnley,West Brom,0,1,A
Leicester,Brighton,2,0,H
Liverpool,Crystal Palace,1,0,H
Southampton,West Ham,3,2,H
Stoke,Arsenal,1,0,H
Swansea,Man United,0,4,A
Huddersfield,Newcastle,1,0,H
Tottenham,Chelsea,1,2,A
Man City,Everton,1,1,D
Bournemouth,Man City,1,2,A
Crystal Palace,Swansea,0,2,A
Huddersfield,Southampton,0,0,D
Man United,Leicester,2,0,H
Newcastle,West Ham,3,0,H
Watford,Brighton,0,0,D
Chelsea,Everton,2,0,H
Liverpool,Arsenal,4,0,H
Tottenham,Burnley,1,1,D
West Brom,Stoke,1,1,D
Arsenal,Bournemouth,3,0,H
Brighton,West Brom,3,1,H
Everton,Tottenham,0,3,A
Leicester,Chelsea,1,2,A
Man City,Liverpool,5,0,H
Southampton,Watford,0,2,A
Stoke,Man United,2,2,D
Burnley,Crystal Palace,1,0,H
Swansea,Newcastle,0,1,A
West Ham,Huddersfield,2,0,H
Bournemouth,Brighton,2,1,H
Crystal Palace,Southampton,0,1,A
Huddersfield,Leicester,1,1,D
Liverpool,Burnley,1,1,D
Newcastle,Stoke,2,1,H
Tottenham,Swansea,0,0,D
Watford,Man City,0,6,A
West Brom,West Ham,0,0,D
Chelsea,Arsenal,0,0,D
Man United,Everton,4,0,H
Burnley,Huddersfield,0,0,D
Everton,Bournemouth,2,1,H
Leicester,Liverpool,2,3,A
Man City,Crystal Palace,5,0,H
Southampton,Man United,0,1,A
Stoke,Chelsea,0,4,A
Swansea,Watford,1,2,A
West Ham,Tottenham,2,3,A
Brighton,Newcastle,1,0,H
Arsenal,West Brom,2,0,H
Bournemouth,Leicester,0,0,D
Chelsea,Man City,0,1,A
Huddersfield,Tottenham,0,4,A
Man United,Crystal Palace,4,0,H
Stoke,Southampton,2,1,H
West Brom,Watford,2,2,D
West Ham,Swansea,1,0,H
Arsenal,Brighton,2,0,H
Everton,Burnley,0,1,A
Newcastle,Liverpool,1,1,D
Burnley,West Ham,1,1,D
Crystal Palace,Chelsea,2,1,H
Liverpool,Man United,0,0,D
Man City,Stoke,7,2,H
Swansea,Huddersfield,2,0,H
Tottenham,Bournemouth,1,0,H
Watford,Arsenal,2,1,H
Brighton,Everton,1,1,D
Southampton,Newcastle,2,2,D
Leicester,West Brom,1,1,D
West Ham,Brighton,0,3,A
Chelsea,Watford,4,2,H
Huddersfield,Man United,2,1,H
Man City,Burnley,3,0,H
Newcastle,Crystal Palace,1,0,H
Southampton,West Brom,1,0,H
Stoke,Bournemouth,1,2,A
Swansea,Leicester,1,2,A
Everton,Arsenal,2,5,A
Tottenham,Liverpool,4,1,H
Arsenal,Swansea,2,1,H
Bournemouth,Chelsea,0,1,A
Crystal Palace,West Ham,2,2,D
Liverpool,Huddersfield,3,0,H
Man United,Tottenham,1,0,H
Watford,Stoke,0,1,A
West Brom,Man City,2,3,A
Brighton,Southampton,1,1,D
Leicester,Everton,2,0,H
Burnley,Newcastle,1,0,H
Huddersfield,West Brom,1,0,H
Newcastle,Bournemouth,0,1,A
Southampton,Burnley,0,1,A
Stoke,Leicester,2,2,D
Swansea,Brighton,0,1,A
West Ham,Liverpool,1,4,A
Chelsea,Man United,1,0,H
Everton,Watford,3,2,H
Man City,Arsenal,3,1,H
Tottenham,Crystal Palace,1,0,H
Arsenal,Tottenham,2,0,H
Bournemouth,Huddersfield,4,0,H
Burnley,Swansea,2,0,H
Crystal Palace,Everton,2,2,D
Leicester,Man City,0,2,A
Liverpool,Southampton,3,0,H
Man United,Newcastle,4,1,H
West Brom,Chelsea,0,4,A
Watford,West Ham,2,0,H
Brighton,Stoke,2,2,D
West Ham,Leicester,1,1,D
Crystal Palace,Stoke,2,1,H
Liverpool,Chelsea,1,1,D
Man United,Brighton,1,0,H
Newcastle,Watford,0,3,A
Swansea,Bournemouth,0,0,D
Tottenham,West Brom,1,1,D
Burnley,Arsenal,0,1,A
Huddersfield,Man City,1,2,A
Southampton,Everton,4,1,H
Brighton,Crystal Palace,0,0,D
Leicester,Tottenham,2,1,H
Watford,Man United,2,4,A
West Brom,Newcastle,2,2,D
Arsenal,Huddersfield,5,0,H
Bournemouth,Burnley,1,2,A
Chelsea,Swansea,1,0,H
Everton,West Ham,4,0,H
Man City,Southampton,2,1,H
Stoke,Liverpool,0,3,A
Arsenal,Man United,1,3,A
Brighton,Liverpool,1,5,A
Chelsea,Newcastle,3,1,H
Everton,Huddersfield,2,0,H
Leicester,Burnley,1,0,H
Stoke,Swansea,2,1,H
Watford,Tottenham,1,1,D
West Brom,Crystal Palace,0,0,D
Bournemouth,Southampton,1,1,D
Man City,West Ham,2,1,H
Burnley,Watford,1,0,H
Crystal Palace,Bournemouth,2,2,D
Huddersfield,Brighton,2,0,H
Newcastle,Leicester,2,3,A
Swansea,West Brom,1,0,H
Tottenham,Stoke,5,1,H
West Ham,Chelsea,1,0,H
Liverpool,Everton,1,1,D
Man United,Man City,1,2,A
Southampton,Arsenal,1,1,D
Burnley,Stoke,1,0,H
Crystal Palace,Watford,2,1,H
Huddersfield,Chelsea,1,3,A
Liverpool,West Brom,0,0,D
Man United,Bournemouth,1,0,H
Newcastle,Everton,0,1,A
Southampton,Leicester,1,4,A
Swansea,Man City,0,4,A
Tottenham,Brighton,2,0,H
West Ham,Arsenal,0,0,D
Arsenal,Newcastle,1,0,H
Brighton,Burnley,0,0,D
Chelsea,Southampton,1,0,H
Leicester,Crystal Palace,0,3,A
Man City,Tottenham,4,1,H
Stoke,West Ham,0,3,A
Watford,Huddersfield,1,4,A
Bournemouth,Liverpool,0,4,A
West Brom,Man United,1,2,A
Everton,Swansea,3,1,H
Arsenal,Liverpool,3,3,D
Brighton,Watford,1,0,H
Burnley,Tottenham,0,3,A
Everton,Chelsea,0,0,D
Leicester,Man United,2,2,D
Man City,Bournemouth,4,0,H
Southampton,Huddersfield,1,1,D
Stoke,West Brom,3,1,H
Swansea,Crystal Palace,1,1,D
West Ham,Newcastle,2,3,A
Bournemouth,West Ham,3,3,D
Chelsea,Brighton,2,0,H
Huddersfield,Stoke,1,1,D
Liverpool,Swansea,5,0,H
Man United,Burnley,2,2,D
Tottenham,Southampton,5,2,H
Watford,Leicester,2,1,H
West Brom,Everton,0,0,D
Newcastle,Man City,0,1,A
Crystal Palace,Arsenal,2,3,A
Bournemouth,Everton,2,1,H
Chelsea,Stoke,5,0,H
Huddersfield,Burnley,0,0,D
Liverpool,Leicester,2,1,H
Man United,Southampton,0,0,D
Newcastle,Brighton,0,0,D
Watford,Swansea,1,2,A
Crystal Palace,Man City,0,0,D
West Brom,Arsenal,1,1,D
Brighton,Bournemouth,2,2,D
Burnley,Liverpool,1,2,A
Everton,Man United,0,2,A
Leicester,Huddersfield,3,0,H
Stoke,Newcastle,0,1,A
Man City,Watford,3,1,H
Southampton,Crystal Palace,1,2,A
Swansea,Tottenham,0,2,A
West Ham,West Brom,2,1,H
Arsenal,Chelsea,2,2,D
Tottenham,West Ham,1,1,D
Chelsea,Leicester,0,0,D
Crystal Palace,Burnley,1,0,H
Huddersfield,West Ham,1,4,A
Newcastle,Swansea,1,1,D
Tottenham,Everton,4,0,H
Watford,Southampton,2,2,D
West Brom,Brighton,2,0,H
Bournemouth,Arsenal,2,1,H
Liverpool,Man City,4,3,H
Man United,Stoke,3,0,H
Arsenal,Crystal Palace,4,1,H
Brighton,Chelsea,0,4,A
Burnley,Man United,0,1,A
Everton,West Brom,1,1,D
Leicester,Watford,2,0,H
Man City,Newcastle,3,1,H
Stoke,Huddersfield,2,0,H
West Ham,Bournemouth,1,1,D
Southampton,Tottenham,1,1,D
Swansea,Liverpool,1,0,H
Huddersfield,Liverpool,0,3,A
Swansea,Arsenal,3,1,H
West Ham,Crystal Palace,1,1,D
Chelsea,Bournemouth,0,3,A
Everton,Leicester,2,1,H
Man City,West Brom,3,0,H
Newcastle,Burnley,1,1,D
Southampton,Brighton,1,1,D
Stoke,Watford,0,0,D
Tottenham,Man United,2,0,H
Arsenal,Everton,5,1,H
Bournemouth,Stoke,2,1,H
Brighton,West Ham,3,1,H
Burnley,Man City,1,1,D
Leicester,Swansea,1,1,D
Man United,Huddersfield,2,0,H
West Brom,Southampton,2,3,A
Crystal Palace,Newcastle,1,1,D
Liverpool,Tottenham,2,2,D
Watford,Chelsea,4,1,H
Everton,Crystal Palace,3,1,H
Man City,Leicester,5,1,H
Stoke,Brighton,1,1,D
Swansea,Burnley,1,0,H
Tottenham,Arsenal,1,0,H
West Ham,Watford,2,0,H
Huddersfield,Bournemouth,4,1,H
Newcastle,Man United,1,0,H
Southampton,Liverpool,0,2,A
Chelsea,West Brom,3,0,H
Bournemouth,Newcastle,2,2,D
Brighton,Swansea,4,1,H
